"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"BCL2A1"	"CD84"	"CCR5"	"BCL2A1"	"ACAP1"	"BIN2"	"CCR2"	"CCR3"	"BLVRA"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BANK1"	"EOMES"	"BIRC3"	"CCR1"	"BLVRA"	"KLRG1"	"CD2"	"C5AR1"	"AIM2"	"CCR5"	"CCR3"	"CCR7"	"CCL19"	"CCL8"	"C5AR1"	"CD19"	"CDH5"	"ASPN"
"BLK"	"FGFBP2"	"BLVRA"	"CCR3"	"C5AR1"	"LCP2"	"CD244"	"CLEC4E"	"ARHGAP15"	"CCR7"	"CCR5"	"CD2"	"CCL8"	"CFP"	"CCR2"	"CD27"	"EMCN"	"COL14A1"
"CCL17"	"GZMA"	"CCL17"	"CD69"	"CCL19"	"PTGDR"	"CD247"	"CSF2RB"	"CCR2"	"CD2"	"CD2"	"CD247"	"CCR1"	"CLEC10A"	"CD1E"	"CD38"	"ERG"	"COL3A1"
"CD19"	"GZMB"	"CCL19"	"CSF2RB"	"CCL8"	"SAMSN1"	"CRTAM"	"CSF3R"	"CCR7"	"CD244"	"CD244"	"CD27"	"CCR7"	"CLEC4A"	"CD244"	"CD79A"	"KDR"	"DCN"
"CD1A"	"GZMH"	"CCL8"	"DEFA4"	"CCR1"	"STAP1"	"CST7"	"CXCR1"	"CD2"	"CD247"	"CD247"	"CD37"	"CD38"	"FGR"	"CD37"	"CD79B"	"PCDH12"	"GREM1"
"CD1C"	"KLRB1"	"CCR2"	"DPEP2"	"CD80"	""	"CTSW"	"CXCR2"	"CD247"	"CD27"	"CD300A"	"CD3D"	"CD40"	"HCK"	"CFP"	"DOK3"	"RAMP3"	"ISLR"
"CD37"	"KLRD1"	"CCR5"	"EMR3"	"CD84"	""	"CX3CR1"	"FAM65B"	"CD27"	"CD300A"	"CD3D"	"CD3E"	"CD80"	"HLA-DQA1"	"CLEC10A"	"ENTPD1"	"TFEC"	"ITIH3"
"CD53"	"KLRF1"	"CCR7"	"FCER1A"	"CHI3L1"	""	"CXCR6"	"FPR1"	"CD37"	"CD3D"	"CD96"	"CD5"	"CD84"	"ITGAX"	"CLEC4A"	"FCRL2"	""	"LMOD1"
"CD69"	"KLRK1"	"CD1A"	"GPR183"	"CLEC4E"	""	"EOMES"	"FPR2"	"CD3D"	"CD3E"	"CST7"	"CD7"	"CLEC4E"	"MMP19"	"CLEC4E"	"IRF4"	""	"PRKG1"
"CD79A"	"NKG7"	"CD1B"	"GPR65"	"CSF1"	""	"FASLG"	"HCK"	"CD3E"	"CD3G"	"CTLA4"	"CTLA4"	"CSF1"	"MS4A6A"	"CLEC7A"	"KIAA0125"	""	"SGCD"
"CD79B"	"PRF1"	"CD1C"	"LRMP"	"CSF1R"	""	"GZMA"	"IL18RAP"	"CD3G"	"CD7"	"CXCR6"	"CXCR6"	"CSF1R"	"NCF2"	"CSF1R"	"PNOC"	""	"TCF21"
"CD80"	"RORA"	"CD1E"	"MMP25"	"CXCL9"	""	"GZMB"	"LILRA1"	"CD5"	"CD8B"	"FASLG"	"FAIM3"	"CXCL10"	"NCKAP1L"	"CSF3R"	"RGS1"	""	"WISP1"
"CR1"	"RUNX3"	"CD209"	"NCF2"	"CYBB"	""	"GZMH"	"LILRB2"	"CD6"	"CD96"	"GPR15"	"GPR171"	"CXCL11"	"PDCD1LG2"	"CX3CR1"	"TNFRSF17"	""	""
"FAIM3"	""	"CD80"	"RGS1"	"FGR"	""	"GZMK"	"LST1"	"CD69"	"CRTAM"	"GPR171"	"HS3ST3B1"	"CXCL9"	"PILRA"	"CXCR2"	"VPREB3"	""	""
"FAM65B"	""	"CD86"	"RNASE2"	"FPR2"	""	"GZMM"	"MEFV"	"CD7"	"CST7"	"GPR68"	"ICOS"	"CYBB"	"SLAMF8"	"CYBB"	"ZBP1"	""	""
"FCRL2"	""	"CLEC10A"	"SAMSN1"	"FPR3"	""	"IFNG"	"MMP25"	"CD96"	"CTSW"	"GZMA"	"IL10RA"	"EBI3"	"SLC15A3"	"DOK3"	""	""	""
"GNG7"	""	"CLEC4A"	"THBS1"	"HK3"	""	"IL18RAP"	"MNDA"	"CTLA4"	"CX3CR1"	"GZMB"	"IL2RA"	"FPR2"	"TFEC"	"DPEP2"	""	""	""
"GPR18"	""	"CLEC7A"	""	"IGSF6"	""	"IL2RB"	"NCF2"	"CTSW"	"CXCR6"	"GZMH"	"IL2RB"	"FPR3"	"TREM2"	"FCER1A"	""	""	""
