"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL1"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BANK1"	"DUSP2"	"BIRC3"	"CCL4"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL1"	"CCR7"	"CCL19"	"CCDC88A"	"C5AR1"	"CCDC88A"	"CDH5"	"ASPN"
"BLK"	"EOMES"	"CCDC88A"	"CCR1"	"BHLHE41"	"KLRG1"	"CCR5"	"CBL"	"ARHGAP15"	"CCL4"	"CCL4"	"CD2"	"CCL22"	"CCL8"	"CCR2"	"CD19"	"EMCN"	"COL14A1"
"BLNK"	"FGFBP2"	"CCL1"	"CCR3"	"C5AR1"	"LCP2"	"CD160"	"CLEC4E"	"BCL11B"	"CCR5"	"CCR2"	"CD247"	"CCL4"	"CFP"	"CD1E"	"CD27"	"ERG"	"COL3A1"
"CCL17"	"GZMA"	"CCL17"	"CD69"	"CCDC88A"	"MMP9"	"CD2"	"CREB5"	"CCL4"	"CCR7"	"CCR3"	"CD27"	"CCL8"	"CLEC10A"	"CD244"	"CD38"	"PCDH12"	"DCN"
"CD19"	"GZMB"	"CCL19"	"CSF2RB"	"CCL1"	"PTGDR"	"CD244"	"CSF2RB"	"CCR2"	"CD160"	"CCR5"	"CD37"	"CCR1"	"CLEC4A"	"CD37"	"CD79A"	"RAMP3"	"GREM1"
"CD1A"	"GZMH"	"CCL22"	"DPEP2"	"CCL19"	"SAMSN1"	"CD247"	"CXCR1"	"CCR7"	"CD2"	"CD160"	"CD3E"	"CCR7"	"FGR"	"CFP"	"CD79B"	"TFEC"	"ISLR"
"CD1C"	"KLRB1"	"CCL4"	"EMR3"	"CCL22"	"STAP1"	"CRTAM"	"CXCR2"	"CD2"	"CD244"	"CD2"	"CD5"	"CD38"	"HCK"	"CLEC10A"	"CYBA"	""	"ITIH3"
"CD37"	"KLRD1"	"CCL8"	"GMIP"	"CCL8"	""	"CST7"	"FAM65B"	"CD247"	"CD247"	"CD244"	"CD7"	"CD40"	"HLA-DQA1"	"CLEC4A"	"DOK3"	""	"LMOD1"
"CD53"	"KLRF1"	"CCR2"	"GPR183"	"CCR1"	""	"CTSW"	"FCAR"	"CD27"	"CD27"	"CD247"	"CTLA4"	"CD80"	"ITGAX"	"CLEC4E"	"ENTPD1"	""	"PRKG1"
"CD69"	"KLRK1"	"CCR5"	"GPR65"	"CD80"	""	"CX3CR1"	"FPR1"	"CD37"	"CD300A"	"CD300A"	"CXCR6"	"CD84"	"LILRA2"	"CLEC5A"	"FCRL2"	""	"SGCD"
"CD79A"	"NKG7"	"CCR7"	"LRMP"	"CD84"	""	"CXCR6"	"FPR2"	"CD3E"	"CD3E"	"CD96"	"FAIM3"	"CLEC4E"	"MMP19"	"CLEC7A"	"HSPA6"	""	"TCF21"
"CD79B"	"PRF1"	"CD1A"	"MMP25"	"CHI3L1"	""	"EOMES"	"HCK"	"CD3G"	"CD3G"	"CST7"	"GPR171"	"CSF1"	"MMP9"	"CSF1R"	"IRF4"	""	"WISP1"
"CD80"	"RORA"	"CD1B"	"NCF2"	"CLEC4E"	""	"FASLG"	"HSPA6"	"CD5"	"CD7"	"CTLA4"	"HS3ST3B1"	"CSF1R"	"MS4A6A"	"CX3CR1"	"KIAA0125"	""	"WNT2"
"CR1"	"RUNX3"	"CD1C"	"RGS1"	"CLEC5A"	""	"GZMA"	"IL18RAP"	"CD6"	"CD8B"	"CXCR6"	"ICOS"	"CXCL10"	"NCF2"	"CXCR2"	"PNOC"	""	""
"FAIM3"	""	"CD1E"	"RNASE2"	"CSF1"	""	"GZMB"	"LILRA1"	"CD69"	"CD96"	"FASLG"	"IL10RA"	"CXCL11"	"NCKAP1L"	"CYBB"	"RGS1"	""	""
"FAM65B"	""	"CD209"	"SAMSN1"	"CSF1R"	""	"GZMH"	"LILRA2"	"CD7"	"CRTAM"	"GMIP"	"IL2RA"	"CXCL9"	"NPL"	"DOK3"	"TNFRSF17"	""	""
"FCAR"	""	"CD80"	"THBS1"	"CXCL9"	""	"GZMK"	"LILRB2"	"CD96"	"CST7"	"GPR15"	"IL2RB"	"CYBB"	"PDCD1LG2"	"DPEP2"	"VPREB3"	""	""
"FCRL2"	""	"CD86"	""	"CYBA"	""	"GZMM"	"LST1"	"CTLA4"	"CTSW"	"GPR171"	"ITGB7"	"EBI3"	"PILRA"	"FCAR"	"ZBP1"	""	""
"GMIP"	""	"CLEC10A"	""	"CYBB"	""	"IFNG"	"MEFV"	"CTSW"	"CX3CR1"	"GPR68"	"ITK"	"FPR2"	"RNASE6"	"FCN1"	""	""	""
